,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Color
1020,1/22/21,2021,1,22,Friday,3,2021-03,1492.32,1507.49,1484.19,1494.18,228300,1494.18,-0.006317833,1408.07,1351.991,Green
1021,1/25/21,2021,1,25,Monday,4,2021-04,1504.0,1510.19,1468.5,1486.32,198200,1486.32,-0.0052604819999999995,1420.012857,1356.8564,Red
1022,1/26/21,2021,1,26,Tuesday,4,2021-04,1493.75,1497.05,1481.44,1489.25,128600,1489.25,0.001971348,1429.594286,1360.5628,Red
1023,1/27/21,2021,1,27,Wednesday,4,2021-04,1480.0,1498.22,1460.0,1466.36,277000,1466.36,-0.015370163000000001,1438.376429,1364.7046,Red
1024,1/28/21,2021,1,28,Thursday,4,2021-04,1471.12,1501.73,1465.88,1480.54,234400,1480.54,0.00967024,1446.405,1369.2868,Red
1025,1/29/21,2021,1,29,Friday,4,2021-04,1474.42,1502.48,1471.14,1480.0,231200,1480.0,-0.000364758,1451.945,1373.6734,Red
1026,2/1/21,2021,2,1,Monday,5,2021-05,1495.1,1516.69,1479.54,1509.02,255600,1509.02,0.019608121000000003,1459.545,1378.4842,Green
1027,2/2/21,2021,2,2,Tuesday,5,2021-05,1525.06,1553.55,1521.6,1523.05,448500,1523.05,0.009297444,1468.217143,1383.0252,Green
1028,2/3/21,2021,2,3,Wednesday,5,2021-05,1495.02,1529.5,1461.3,1499.99,648900,1499.99,-0.01514071,1475.7164289999998,1386.8158,Green
1029,2/4/21,2021,2,4,Thursday,5,2021-05,1506.0,1510.51,1474.06,1479.55,350200,1479.55,-0.013626718999999999,1480.555714,1390.5554,Green
1030,2/5/21,2021,2,5,Friday,5,2021-05,1487.22,1513.6,1477.22,1506.88,313900,1506.88,0.018471802,1487.78,1395.0729999999999,Green
1031,2/8/21,2021,2,8,Monday,6,2021-06,1507.77,1511.9,1491.7,1504.0,208700,1504.0,-0.001911237,1493.102857,1399.8966,Green
1032,2/9/21,2021,2,9,Tuesday,6,2021-06,1501.25,1564.91,1501.25,1550.49,384300,1550.49,0.030910898,1498.093571,1405.3728,Green
1033,2/10/21,2021,2,10,Wednesday,6,2021-06,1560.2,1560.92,1525.25,1544.66,228900,1544.66,-0.003760073,1501.020714,1410.3106,Green
1034,2/11/21,2021,2,11,Thursday,6,2021-06,1543.3,1548.53,1531.9,1543.11,168300,1543.11,-0.001003489,1504.5157140000001,1415.3842,Green
1035,2/12/21,2021,2,12,Friday,6,2021-06,1540.19,1543.36,1522.0,1527.7,139100,1527.7,-0.009986349,1507.471429,1419.517,Green
1036,2/16/21,2021,2,16,Tuesday,7,2021-07,1531.0,1531.0,1476.46,1484.0,319600,1484.0,-0.028605062,1507.096429,1423.257,Red
1037,2/17/21,2021,2,17,Wednesday,7,2021-07,1476.46,1477.52,1442.94,1459.5,265300,1459.5,-0.016509434,1506.606429,1426.2718,Red
1038,2/18/21,2021,2,18,Thursday,7,2021-07,1448.16,1466.04,1444.0,1456.31,174200,1456.31,-0.00218564,1504.875714,1428.7056,Red
1039,2/19/21,2021,2,19,Friday,7,2021-07,1468.6,1483.77,1457.01,1473.09,244100,1473.09,0.011522208,1504.382143,1431.2254,Red
1040,2/22/21,2021,2,22,Monday,8,2021-08,1457.4,1460.13,1429.17,1430.54,292600,1430.54,-0.028884812000000003,1498.776429,1432.9162,Red
1041,2/23/21,2021,2,23,Tuesday,8,2021-08,1410.81,1422.99,1350.0,1416.24,376300,1416.24,-0.009996259,1491.147143,1434.9614,Red
1042,2/24/21,2021,2,24,Wednesday,8,2021-08,1417.73,1450.82,1398.9,1449.06,264600,1449.06,0.023174087000000003,1487.509286,1437.598,Red
1043,2/25/21,2021,2,25,Thursday,8,2021-08,1446.75,1447.96,1395.29,1410.74,236200,1410.74,-0.026444776,1482.594286,1439.8128,Red
1044,2/26/21,2021,2,26,Friday,8,2021-08,1429.43,1460.04,1411.85,1442.0,443500,1442.0,0.022158591000000002,1477.96,1442.4624,Red
1045,3/1/21,2021,3,1,Monday,9,2021-09,1444.83,1489.99,1444.83,1484.95,281200,1484.95,0.029784987000000002,1476.599286,1445.2322,Red
1046,3/2/21,2021,3,2,Tuesday,9,2021-09,1493.41,1506.0,1472.34,1475.57,258000,1475.57,-0.006316714,1471.247857,1446.7312,Red
1047,3/3/21,2021,3,3,Wednesday,9,2021-09,1466.77,1477.63,1405.39,1408.22,300600,1408.22,-0.045643364000000006,1461.502143,1446.7020000000002,Red
1048,3/4/21,2021,3,4,Thursday,9,2021-09,1402.71,1408.3,1322.4,1351.12,507000,1351.12,-0.040547625,1447.788571,1445.3529999999998,Red
1049,3/5/21,2021,3,5,Friday,9,2021-09,1358.85,1358.85,1256.27,1332.28,535300,1332.28,-0.013943961999999999,1433.83,1443.6388,Red
1050,3/8/21,2021,3,8,Monday,10,2021-10,1332.0,1361.89,1306.24,1335.0,333600,1335.0,0.002041591,1423.1871429999999,1441.8128,Green
1051,3/9/21,2021,3,9,Tuesday,10,2021-10,1372.9,1433.96,1369.97,1427.61,529100,1427.61,0.069370776,1420.9092859999998,1442.1452,Green
1052,3/10/21,2021,3,10,Wednesday,10,2021-10,1429.9,1453.44,1404.46,1416.67,289800,1416.67,-0.007663116,1418.077857,1442.2276,Green
1053,3/11/21,2021,3,11,Thursday,10,2021-10,1439.99,1468.43,1436.32,1462.06,327400,1462.06,0.032039934,1417.29,1443.4389999999999,Green
1054,3/12/21,2021,3,12,Friday,10,2021-10,1448.8,1458.56,1432.0,1453.24,209900,1453.24,-0.006032631,1418.911429,1444.6596,Green
1055,3/15/21,2021,3,15,Monday,11,2021-11,1457.0,1491.38,1449.09,1485.61,197500,1485.61,0.022274363,1423.866429,1446.8884,Red
1056,3/16/21,2021,3,16,Tuesday,11,2021-11,1478.0,1511.0,1473.03,1482.69,212000,1482.69,-0.001965552,1426.268571,1448.808,Red
1057,3/17/21,2021,3,17,Wednesday,11,2021-11,1470.0,1482.48,1445.25,1478.6,220800,1478.6,-0.002758477,1431.115714,1451.9976,Red
1058,3/18/21,2021,3,18,Thursday,11,2021-11,1459.93,1466.0,1425.45,1429.36,256000,1429.36,-0.033301766000000003,1430.212857,1453.4826,Red
1059,3/19/21,2021,3,19,Friday,11,2021-11,1437.96,1443.37,1419.64,1421.2,360900,1421.2,-0.005708873000000001,1425.6592859999998,1455.0384,Red
1060,3/22/21,2021,3,22,Monday,12,2021-12,1437.47,1460.34,1428.79,1444.33,233800,1444.33,0.016274983,1423.4278570000001,1456.5622,Green
1061,3/23/21,2021,3,23,Tuesday,12,2021-12,1444.51,1475.0,1444.51,1451.29,238300,1451.29,0.004818901,1426.5042859999999,1457.5392,Green
1062,3/24/21,2021,3,24,Wednesday,12,2021-12,1458.17,1459.13,1419.89,1422.96,200000,1422.96,-0.019520618,1431.635714,1457.9460000000001,Green
